label,column,n_rows_label,n_unique_values,top10_coverage
Botnet,Packet Length Max,736,27,0.9510869565217391
Botnet,FIN Flag Count,736,1,1.0
Botnet,SYN Flag Count,736,1,1.0
Botnet,RST Flag Count,736,1,1.0
Botnet,PSH Flag Count,736,2,1.0
Botnet,ACK Flag Count,736,38,0.9619565217391305
Botnet,URG Flag Count,736,1,1.0
Botnet,CWR Flag Count,736,1,1.0
Botnet,ECE Flag Count,736,1,1.0
Botnet,Down/Up Ratio,736,42,0.9565217391304348
Botnet,Fwd Segment Size Avg,736,60,0.9184782608695652
Botnet,Bwd Segment Size Avg,736,38,0.9605978260869565
Botnet,Fwd Bytes/Bulk Avg,736,41,0.9578804347826086
Botnet,Fwd Packet/Bulk Avg,736,20,0.9850543478260869
Botnet,Fwd Bulk Rate Avg,736,45,0.9524456521739131
Botnet,Bwd Bytes/Bulk Avg,736,1,1.0
Botnet,Bwd Packet/Bulk Avg,736,1,1.0
Botnet,Bwd Bulk Rate Avg,736,1,1.0
Botnet,Subflow Fwd Packets,736,1,1.0
Botnet,Subflow Fwd Bytes,736,55,0.936141304347826
Botnet,Subflow Bwd Packets,736,1,1.0
Botnet,Subflow Bwd Bytes,736,7,1.0
Botnet,FWD Init Win Bytes,736,1,1.0
Botnet,Bwd Init Win Bytes,736,24,0.9796195652173914
Botnet,Fwd Act Data Pkts,736,22,0.9823369565217391
Botnet,Fwd Seg Size Min,736,1,1.0
Botnet,Active Mean,736,1,1.0
Botnet,Active Std,736,1,1.0
Botnet,Active Max,736,1,1.0
Botnet,Active Min,736,1,1.0
Botnet,Idle Mean,736,1,1.0
Botnet,Idle Std,736,1,1.0
Botnet,Idle Max,736,1,1.0
Botnet,Idle Min,736,1,1.0
Botnet,ICMP Code,736,1,1.0
Botnet,ICMP Type,736,1,1.0
Botnet,Attempted Category,736,1,1.0
Botnet - Attempted,Dst Port,4067,1,1.0
Botnet - Attempted,Protocol,4067,1,1.0
Botnet - Attempted,Total Fwd Packet,4067,2,1.0
Botnet - Attempted,Total Bwd packets,4067,2,1.0
Botnet - Attempted,Total Length of Fwd Packet,4067,1,1.0
Botnet - Attempted,Total Length of Bwd Packet,4067,1,1.0
Botnet - Attempted,Fwd Packet Length Max,4067,1,1.0
Botnet - Attempted,Fwd Packet Length Min,4067,1,1.0
Botnet - Attempted,Fwd Packet Length Mean,4067,1,1.0
Botnet - Attempted,Fwd Packet Length Std,4067,1,1.0
Botnet - Attempted,Bwd Packet Length Max,4067,1,1.0
Botnet - Attempted,Bwd Packet Length Min,4067,1,1.0
Botnet - Attempted,Bwd Packet Length Mean,4067,1,1.0
Botnet - Attempted,Bwd Packet Length Std,4067,1,1.0
Botnet - Attempted,Flow Bytes/s,4067,1,1.0
Botnet - Attempted,Flow IAT Std,4067,161,0.9628718957462503
Botnet - Attempted,Fwd IAT Total,4067,158,0.9636095402016228
Botnet - Attempted,Fwd IAT Mean,4067,158,0.9636095402016228
Botnet - Attempted,Fwd IAT Std,4067,161,0.9628718957462503
Botnet - Attempted,Fwd IAT Max,4067,148,0.9650848291123678
Botnet - Attempted,Fwd IAT Min,4067,158,0.9636095402016228
Botnet - Attempted,Bwd IAT Total,4067,1,1.0
Botnet - Attempted,Bwd IAT Mean,4067,1,1.0
Botnet - Attempted,Bwd IAT Std,4067,1,1.0
Botnet - Attempted,Bwd IAT Max,4067,1,1.0
Botnet - Attempted,Bwd IAT Min,4067,1,1.0
Botnet - Attempted,Fwd PSH Flags,4067,1,1.0
Botnet - Attempted,Bwd PSH Flags,4067,1,1.0
Botnet - Attempted,Fwd URG Flags,4067,1,1.0
Botnet - Attempted,Bwd URG Flags,4067,1,1.0
Botnet - Attempted,Fwd RST Flags,4067,1,1.0
Botnet - Attempted,Bwd RST Flags,4067,2,1.0
Botnet - Attempted,Fwd Header Length,4067,3,1.0
Botnet - Attempted,Bwd Header Length,4067,2,1.0
Botnet - Attempted,Packet Length Min,4067,1,1.0
Botnet - Attempted,Packet Length Max,4067,1,1.0
Botnet - Attempted,Packet Length Mean,4067,1,1.0
Botnet - Attempted,Packet Length Std,4067,1,1.0
Botnet - Attempted,Packet Length Variance,4067,1,1.0
Botnet - Attempted,FIN Flag Count,4067,1,1.0
Botnet - Attempted,SYN Flag Count,4067,2,1.0
Botnet - Attempted,RST Flag Count,4067,2,1.0
Botnet - Attempted,PSH Flag Count,4067,1,1.0
Botnet - Attempted,ACK Flag Count,4067,2,1.0
Botnet - Attempted,URG Flag Count,4067,1,1.0
Botnet - Attempted,CWR Flag Count,4067,1,1.0
Botnet - Attempted,ECE Flag Count,4067,1,1.0
Botnet - Attempted,Down/Up Ratio,4067,3,1.0
Botnet - Attempted,Average Packet Size,4067,1,1.0
Botnet - Attempted,Fwd Segment Size Avg,4067,1,1.0
Botnet - Attempted,Bwd Segment Size Avg,4067,1,1.0
Botnet - Attempted,Fwd Bytes/Bulk Avg,4067,1,1.0
Botnet - Attempted,Fwd Packet/Bulk Avg,4067,1,1.0
Botnet - Attempted,Fwd Bulk Rate Avg,4067,1,1.0
Botnet - Attempted,Bwd Bytes/Bulk Avg,4067,1,1.0
Botnet - Attempted,Bwd Packet/Bulk Avg,4067,1,1.0
Botnet - Attempted,Bwd Bulk Rate Avg,4067,1,1.0
Botnet - Attempted,Subflow Fwd Packets,4067,2,1.0
Botnet - Attempted,Subflow Fwd Bytes,4067,1,1.0
Botnet - Attempted,Subflow Bwd Packets,4067,1,1.0
Botnet - Attempted,Subflow Bwd Bytes,4067,1,1.0
Botnet - Attempted,FWD Init Win Bytes,4067,1,1.0
Botnet - Attempted,Bwd Init Win Bytes,4067,1,1.0
Botnet - Attempted,Fwd Act Data Pkts,4067,1,1.0
Botnet - Attempted,Fwd Seg Size Min,4067,2,1.0
Botnet - Attempted,Active Mean,4067,158,0.9636095402016228
Botnet - Attempted,Active Std,4067,1,1.0
Botnet - Attempted,Active Max,4067,158,0.9636095402016228
Botnet - Attempted,Active Min,4067,158,0.9636095402016228
Botnet - Attempted,Idle Mean,4067,148,0.9650848291123678
Botnet - Attempted,Idle Std,4067,1,1.0
Botnet - Attempted,Idle Max,4067,148,0.9650848291123678
Botnet - Attempted,Idle Min,4067,148,0.9650848291123678
Botnet - Attempted,ICMP Code,4067,1,1.0
Botnet - Attempted,ICMP Type,4067,1,1.0
Botnet - Attempted,Attempted Category,4067,1,1.0
DDoS,Dst Port,95144,1,1.0
DDoS,Protocol,95144,1,1.0
DDoS,Total Fwd Packet,95144,10,1.0
DDoS,Total Bwd packets,95144,12,0.9998843857731439
DDoS,Total Length of Fwd Packet,95144,2,1.0
DDoS,Total Length of Bwd Packet,95144,15,0.9999264273101824
DDoS,Fwd Packet Length Max,95144,1,1.0
DDoS,Fwd Packet Length Min,95144,1,1.0
DDoS,Fwd Packet Length Mean,95144,11,0.9999894896157403
DDoS,Fwd Packet Length Std,95144,11,0.9999894896157403
DDoS,Bwd Packet Length Max,95144,13,0.9854746489531657
DDoS,Bwd Packet Length Min,95144,1,1.0
DDoS,Bwd Packet Length Mean,95144,40,0.9972042377869335
DDoS,Flow IAT Min,95144,174,0.9050491885983352
DDoS,Fwd PSH Flags,95144,2,1.0
DDoS,Bwd PSH Flags,95144,4,1.0
DDoS,Fwd URG Flags,95144,1,1.0
DDoS,Bwd URG Flags,95144,1,1.0
DDoS,Fwd RST Flags,95144,3,1.0
DDoS,Bwd RST Flags,95144,1,1.0
DDoS,Fwd Header Length,95144,19,0.9994955015555369
DDoS,Bwd Header Length,95144,14,0.9998318338518456
DDoS,Packet Length Min,95144,1,1.0
DDoS,Packet Length Max,95144,13,0.9854746489531657
DDoS,Packet Length Mean,95144,66,0.985285462036492
DDoS,FIN Flag Count,95144,4,1.0
DDoS,SYN Flag Count,95144,2,1.0
DDoS,RST Flag Count,95144,3,1.0
DDoS,PSH Flag Count,95144,4,1.0
DDoS,ACK Flag Count,95144,19,0.9991801900277474
DDoS,URG Flag Count,95144,1,1.0
DDoS,CWR Flag Count,95144,1,1.0
DDoS,ECE Flag Count,95144,1,1.0
DDoS,Down/Up Ratio,95144,39,0.9458294795257715
DDoS,Average Packet Size,95144,53,0.9871773312032288
DDoS,Fwd Segment Size Avg,95144,11,0.9999894896157403
DDoS,Bwd Segment Size Avg,95144,37,0.9983393592869755
DDoS,Fwd Bytes/Bulk Avg,95144,1,1.0
DDoS,Fwd Packet/Bulk Avg,95144,1,1.0
DDoS,Fwd Bulk Rate Avg,95144,1,1.0
DDoS,Bwd Bytes/Bulk Avg,95144,14,0.9999474480787017
DDoS,Bwd Packet/Bulk Avg,95144,6,1.0
DDoS,Subflow Fwd Packets,95144,1,1.0
DDoS,Subflow Fwd Bytes,95144,4,1.0
DDoS,Subflow Bwd Packets,95144,1,1.0
DDoS,Subflow Bwd Bytes,95144,50,0.9872403935087867
DDoS,FWD Init Win Bytes,95144,2,1.0
DDoS,Bwd Init Win Bytes,95144,1,1.0
DDoS,Fwd Act Data Pkts,95144,2,1.0
DDoS,Fwd Seg Size Min,95144,2,1.0
DDoS,Active Std,95144,1,1.0
DDoS,Idle Std,95144,1,1.0
DDoS,ICMP Code,95144,1,1.0
DDoS,ICMP Type,95144,1,1.0
DDoS,Attempted Category,95144,1,1.0
DoS GoldenEye,Dst Port,7567,1,1.0
DoS GoldenEye,Protocol,7567,1,1.0
DoS GoldenEye,Total Fwd Packet,7567,18,0.9824236817761333
DoS GoldenEye,Total Bwd packets,7567,7,1.0
DoS GoldenEye,Total Length of Bwd Packet,7567,5,1.0
DoS GoldenEye,Fwd Packet Length Min,7567,1,1.0
DoS GoldenEye,Bwd Packet Length Max,7567,18,0.9413241707413771
DoS GoldenEye,Bwd Packet Length Min,7567,1,1.0
DoS GoldenEye,Bwd Packet Length Mean,7567,24,0.9805735430157262
DoS GoldenEye,Fwd PSH Flags,7567,11,0.998942777851196
DoS GoldenEye,Bwd PSH Flags,7567,3,1.0
DoS GoldenEye,Fwd URG Flags,7567,1,1.0
DoS GoldenEye,Bwd URG Flags,7567,1,1.0
DoS GoldenEye,Fwd RST Flags,7567,2,1.0
DoS GoldenEye,Bwd RST Flags,7567,2,1.0
DoS GoldenEye,Bwd Header Length,7567,20,0.9948460420245804
DoS GoldenEye,Packet Length Min,7567,1,1.0
DoS GoldenEye,Packet Length Max,7567,24,0.9413241707413771
DoS GoldenEye,FIN Flag Count,7567,2,1.0
DoS GoldenEye,SYN Flag Count,7567,6,1.0
DoS GoldenEye,RST Flag Count,7567,2,1.0
DoS GoldenEye,PSH Flag Count,7567,11,0.9998678472313995
DoS GoldenEye,ACK Flag Count,7567,23,0.9573146557420378
DoS GoldenEye,URG Flag Count,7567,1,1.0
DoS GoldenEye,CWR Flag Count,7567,1,1.0
DoS GoldenEye,ECE Flag Count,7567,1,1.0
DoS GoldenEye,Bwd Segment Size Avg,7567,19,0.9892956257433593
DoS GoldenEye,Fwd Bytes/Bulk Avg,7567,329,0.9427778511959826
DoS GoldenEye,Fwd Packet/Bulk Avg,7567,3,1.0
DoS GoldenEye,Fwd Bulk Rate Avg,7567,423,0.940531254129774
DoS GoldenEye,Bwd Bytes/Bulk Avg,7567,3,1.0
DoS GoldenEye,Bwd Packet/Bulk Avg,7567,4,1.0
DoS GoldenEye,Bwd Bulk Rate Avg,7567,177,0.9522928505352187
DoS GoldenEye,Subflow Fwd Packets,7567,1,1.0
DoS GoldenEye,Subflow Bwd Packets,7567,1,1.0
DoS GoldenEye,FWD Init Win Bytes,7567,2,1.0
DoS GoldenEye,Bwd Init Win Bytes,7567,6,1.0
DoS GoldenEye,Fwd Act Data Pkts,7567,11,0.998942777851196
DoS GoldenEye,Fwd Seg Size Min,7567,2,1.0
DoS GoldenEye,ICMP Code,7567,1,1.0
DoS GoldenEye,ICMP Type,7567,1,1.0
DoS GoldenEye,Attempted Category,7567,1,1.0
DoS GoldenEye - Attempted,Dst Port,80,1,1.0
DoS GoldenEye - Attempted,Protocol,80,1,1.0
DoS GoldenEye - Attempted,Total Fwd Packet,80,2,1.0
DoS GoldenEye - Attempted,Total Bwd packets,80,2,1.0
DoS GoldenEye - Attempted,Total Length of Fwd Packet,80,1,1.0
DoS GoldenEye - Attempted,Total Length of Bwd Packet,80,1,1.0
DoS GoldenEye - Attempted,Fwd Packet Length Max,80,1,1.0
DoS GoldenEye - Attempted,Fwd Packet Length Min,80,1,1.0
DoS GoldenEye - Attempted,Fwd Packet Length Mean,80,1,1.0
DoS GoldenEye - Attempted,Fwd Packet Length Std,80,1,1.0
DoS GoldenEye - Attempted,Bwd Packet Length Max,80,1,1.0
DoS GoldenEye - Attempted,Bwd Packet Length Min,80,1,1.0
DoS GoldenEye - Attempted,Bwd Packet Length Mean,80,1,1.0
DoS GoldenEye - Attempted,Bwd Packet Length Std,80,1,1.0
DoS GoldenEye - Attempted,Flow Bytes/s,80,1,1.0
DoS GoldenEye - Attempted,Flow IAT Std,80,3,1.0
DoS GoldenEye - Attempted,Fwd IAT Total,80,3,1.0
DoS GoldenEye - Attempted,Fwd IAT Mean,80,3,1.0
DoS GoldenEye - Attempted,Fwd IAT Std,80,3,1.0
DoS GoldenEye - Attempted,Fwd IAT Max,80,3,1.0
DoS GoldenEye - Attempted,Fwd IAT Min,80,3,1.0
DoS GoldenEye - Attempted,Bwd IAT Total,80,1,1.0
DoS GoldenEye - Attempted,Bwd IAT Mean,80,1,1.0
DoS GoldenEye - Attempted,Bwd IAT Std,80,1,1.0
DoS GoldenEye - Attempted,Bwd IAT Max,80,1,1.0
DoS GoldenEye - Attempted,Bwd IAT Min,80,1,1.0
DoS GoldenEye - Attempted,Fwd PSH Flags,80,1,1.0
DoS GoldenEye - Attempted,Bwd PSH Flags,80,1,1.0
DoS GoldenEye - Attempted,Fwd URG Flags,80,1,1.0
DoS GoldenEye - Attempted,Bwd URG Flags,80,1,1.0
DoS GoldenEye - Attempted,Fwd RST Flags,80,1,1.0
DoS GoldenEye - Attempted,Bwd RST Flags,80,1,1.0
DoS GoldenEye - Attempted,Fwd Header Length,80,2,1.0
DoS GoldenEye - Attempted,Bwd Header Length,80,2,1.0
DoS GoldenEye - Attempted,Packet Length Min,80,1,1.0
DoS GoldenEye - Attempted,Packet Length Max,80,1,1.0
DoS GoldenEye - Attempted,Packet Length Mean,80,1,1.0
DoS GoldenEye - Attempted,Packet Length Std,80,1,1.0
DoS GoldenEye - Attempted,Packet Length Variance,80,1,1.0
DoS GoldenEye - Attempted,FIN Flag Count,80,2,1.0
DoS GoldenEye - Attempted,SYN Flag Count,80,2,1.0
DoS GoldenEye - Attempted,RST Flag Count,80,1,1.0
DoS GoldenEye - Attempted,PSH Flag Count,80,1,1.0
DoS GoldenEye - Attempted,ACK Flag Count,80,2,1.0
DoS GoldenEye - Attempted,URG Flag Count,80,1,1.0
DoS GoldenEye - Attempted,CWR Flag Count,80,1,1.0
DoS GoldenEye - Attempted,ECE Flag Count,80,1,1.0
DoS GoldenEye - Attempted,Down/Up Ratio,80,2,1.0
DoS GoldenEye - Attempted,Average Packet Size,80,1,1.0
DoS GoldenEye - Attempted,Fwd Segment Size Avg,80,1,1.0
DoS GoldenEye - Attempted,Bwd Segment Size Avg,80,1,1.0
DoS GoldenEye - Attempted,Fwd Bytes/Bulk Avg,80,1,1.0
DoS GoldenEye - Attempted,Fwd Packet/Bulk Avg,80,1,1.0
DoS GoldenEye - Attempted,Fwd Bulk Rate Avg,80,1,1.0
DoS GoldenEye - Attempted,Bwd Bytes/Bulk Avg,80,1,1.0
DoS GoldenEye - Attempted,Bwd Packet/Bulk Avg,80,1,1.0
DoS GoldenEye - Attempted,Bwd Bulk Rate Avg,80,1,1.0
DoS GoldenEye - Attempted,Subflow Fwd Packets,80,2,1.0
DoS GoldenEye - Attempted,Subflow Fwd Bytes,80,1,1.0
DoS GoldenEye - Attempted,Subflow Bwd Packets,80,1,1.0
DoS GoldenEye - Attempted,Subflow Bwd Bytes,80,1,1.0
DoS GoldenEye - Attempted,FWD Init Win Bytes,80,2,1.0
DoS GoldenEye - Attempted,Bwd Init Win Bytes,80,2,1.0
DoS GoldenEye - Attempted,Fwd Act Data Pkts,80,1,1.0
DoS GoldenEye - Attempted,Fwd Seg Size Min,80,2,1.0
DoS GoldenEye - Attempted,Active Mean,80,3,1.0
DoS GoldenEye - Attempted,Active Std,80,1,1.0
DoS GoldenEye - Attempted,Active Max,80,3,1.0
DoS GoldenEye - Attempted,Active Min,80,3,1.0
DoS GoldenEye - Attempted,Idle Mean,80,3,1.0
DoS GoldenEye - Attempted,Idle Std,80,3,1.0
DoS GoldenEye - Attempted,Idle Max,80,3,1.0
DoS GoldenEye - Attempted,Idle Min,80,3,1.0
DoS GoldenEye - Attempted,ICMP Code,80,1,1.0
DoS GoldenEye - Attempted,ICMP Type,80,1,1.0
DoS GoldenEye - Attempted,Attempted Category,80,1,1.0
DoS Hulk,Dst Port,158468,1,1.0
DoS Hulk,Protocol,158468,1,1.0
DoS Hulk,Total Fwd Packet,158468,16,0.9998169977534896
DoS Hulk,Total Bwd packets,158468,11,0.9999684478885327
DoS Hulk,Total Length of Bwd Packet,158468,7,1.0
DoS Hulk,Fwd Packet Length Min,158468,13,0.9999810687331196
DoS Hulk,Bwd Packet Length Max,158468,15,0.9847161572052402
DoS Hulk,Bwd Packet Length Min,158468,1,1.0
DoS Hulk,Bwd Packet Length Mean,158468,33,0.9970088598329
DoS Hulk,Flow IAT Min,158468,123,0.9786581518035187
DoS Hulk,Fwd IAT Min,158468,307,0.9560794608375193
DoS Hulk,Fwd PSH Flags,158468,7,1.0
DoS Hulk,Bwd PSH Flags,158468,3,1.0
DoS Hulk,Fwd URG Flags,158468,1,1.0
DoS Hulk,Bwd URG Flags,158468,1,1.0
DoS Hulk,Fwd RST Flags,158468,8,1.0
DoS Hulk,Bwd RST Flags,158468,2,1.0
DoS Hulk,Bwd Header Length,158468,12,0.9998864123987177
DoS Hulk,Packet Length Min,158468,1,1.0
DoS Hulk,Packet Length Max,158468,26,0.9847161572052402
DoS Hulk,FIN Flag Count,158468,4,1.0
DoS Hulk,SYN Flag Count,158468,6,1.0
DoS Hulk,RST Flag Count,158468,8,1.0
DoS Hulk,PSH Flag Count,158468,9,1.0
DoS Hulk,ACK Flag Count,158468,16,0.9990912991897418
DoS Hulk,URG Flag Count,158468,1,1.0
DoS Hulk,CWR Flag Count,158468,1,1.0
DoS Hulk,ECE Flag Count,158468,1,1.0
DoS Hulk,Bwd Segment Size Avg,158468,28,0.9983782214705809
DoS Hulk,Fwd Bytes/Bulk Avg,158468,259,0.9815420147916298
DoS Hulk,Fwd Packet/Bulk Avg,158468,3,1.0
DoS Hulk,Fwd Bulk Rate Avg,158468,892,0.9803114824444051
DoS Hulk,Bwd Bytes/Bulk Avg,158468,6,1.0
DoS Hulk,Bwd Packet/Bulk Avg,158468,5,1.0
DoS Hulk,Subflow Fwd Packets,158468,1,1.0
DoS Hulk,Subflow Bwd Packets,158468,1,1.0
DoS Hulk,Subflow Bwd Bytes,158468,35,0.9919920741095994
DoS Hulk,FWD Init Win Bytes,158468,3,1.0
DoS Hulk,Bwd Init Win Bytes,158468,3,1.0
DoS Hulk,Fwd Act Data Pkts,158468,8,1.0
DoS Hulk,Fwd Seg Size Min,158468,3,1.0
DoS Hulk,Active Mean,158468,59,0.9996907893076205
DoS Hulk,Active Std,158468,14,0.9999747583108262
DoS Hulk,Active Max,158468,59,0.9996907893076205
DoS Hulk,Active Min,158468,59,0.9996907893076205
DoS Hulk,Idle Mean,158468,1708,0.978828533205442
DoS Hulk,Idle Std,158468,237,0.9985675341393846
DoS Hulk,Idle Max,158468,1679,0.978828533205442
DoS Hulk,Idle Min,158468,1544,0.9789168791175505
DoS Hulk,ICMP Code,158468,1,1.0
DoS Hulk,ICMP Type,158468,1,1.0
DoS Hulk,Attempted Category,158468,1,1.0
DoS Hulk - Attempted,Dst Port,581,1,1.0
DoS Hulk - Attempted,Protocol,581,1,1.0
DoS Hulk - Attempted,Total Fwd Packet,581,8,1.0
DoS Hulk - Attempted,Total Bwd packets,581,8,1.0
DoS Hulk - Attempted,Total Length of Fwd Packet,581,3,1.0
DoS Hulk - Attempted,Total Length of Bwd Packet,581,4,1.0
DoS Hulk - Attempted,Fwd Packet Length Max,581,3,1.0
DoS Hulk - Attempted,Fwd Packet Length Min,581,1,1.0
DoS Hulk - Attempted,Fwd Packet Length Mean,581,3,1.0
DoS Hulk - Attempted,Fwd Packet Length Std,581,3,1.0
DoS Hulk - Attempted,Bwd Packet Length Max,581,4,1.0
DoS Hulk - Attempted,Bwd Packet Length Min,581,1,1.0
DoS Hulk - Attempted,Bwd Packet Length Mean,581,4,1.0
DoS Hulk - Attempted,Bwd Packet Length Std,581,4,1.0
DoS Hulk - Attempted,Flow Bytes/s,581,5,1.0
DoS Hulk - Attempted,Bwd IAT Std,581,28,0.9690189328743546
DoS Hulk - Attempted,Fwd PSH Flags,581,3,1.0
DoS Hulk - Attempted,Bwd PSH Flags,581,3,1.0
DoS Hulk - Attempted,Fwd URG Flags,581,1,1.0
DoS Hulk - Attempted,Bwd URG Flags,581,1,1.0
DoS Hulk - Attempted,Fwd RST Flags,581,1,1.0
DoS Hulk - Attempted,Bwd RST Flags,581,1,1.0
DoS Hulk - Attempted,Fwd Header Length,581,11,0.9982788296041308
DoS Hulk - Attempted,Bwd Header Length,581,9,1.0
DoS Hulk - Attempted,Packet Length Min,581,1,1.0
DoS Hulk - Attempted,Packet Length Max,581,4,1.0
DoS Hulk - Attempted,Packet Length Mean,581,4,1.0
DoS Hulk - Attempted,Packet Length Std,581,4,1.0
DoS Hulk - Attempted,Packet Length Variance,581,4,1.0
DoS Hulk - Attempted,FIN Flag Count,581,3,1.0
DoS Hulk - Attempted,SYN Flag Count,581,6,1.0
DoS Hulk - Attempted,RST Flag Count,581,1,1.0
DoS Hulk - Attempted,PSH Flag Count,581,3,1.0
DoS Hulk - Attempted,ACK Flag Count,581,10,1.0
DoS Hulk - Attempted,URG Flag Count,581,1,1.0
DoS Hulk - Attempted,CWR Flag Count,581,1,1.0
DoS Hulk - Attempted,ECE Flag Count,581,1,1.0
DoS Hulk - Attempted,Down/Up Ratio,581,8,1.0
DoS Hulk - Attempted,Average Packet Size,581,4,1.0
DoS Hulk - Attempted,Fwd Segment Size Avg,581,3,1.0
DoS Hulk - Attempted,Bwd Segment Size Avg,581,4,1.0
DoS Hulk - Attempted,Fwd Bytes/Bulk Avg,581,1,1.0
DoS Hulk - Attempted,Fwd Packet/Bulk Avg,581,1,1.0
DoS Hulk - Attempted,Fwd Bulk Rate Avg,581,1,1.0
DoS Hulk - Attempted,Bwd Bytes/Bulk Avg,581,1,1.0
DoS Hulk - Attempted,Bwd Packet/Bulk Avg,581,1,1.0
DoS Hulk - Attempted,Bwd Bulk Rate Avg,581,1,1.0
DoS Hulk - Attempted,Subflow Fwd Packets,581,2,1.0
DoS Hulk - Attempted,Subflow Fwd Bytes,581,3,1.0
DoS Hulk - Attempted,Subflow Bwd Packets,581,1,1.0
DoS Hulk - Attempted,Subflow Bwd Bytes,581,4,1.0
DoS Hulk - Attempted,FWD Init Win Bytes,581,2,1.0
DoS Hulk - Attempted,Bwd Init Win Bytes,581,6,1.0
DoS Hulk - Attempted,Fwd Act Data Pkts,581,3,1.0
DoS Hulk - Attempted,Fwd Seg Size Min,581,3,1.0
DoS Hulk - Attempted,Active Std,581,25,0.9741824440619621
DoS Hulk - Attempted,ICMP Code,581,1,1.0
DoS Hulk - Attempted,ICMP Type,581,1,1.0
DoS Hulk - Attempted,Attempted Category,581,2,1.0
DoS Slowhttptest,Dst Port,1740,1,1.0
DoS Slowhttptest,Protocol,1740,1,1.0
DoS Slowhttptest,Total Fwd Packet,1740,20,0.9287356321839081
DoS Slowhttptest,Total Bwd packets,1740,8,1.0
DoS Slowhttptest,Total Length of Bwd Packet,1740,6,1.0
DoS Slowhttptest,Fwd Packet Length Max,1740,30,0.914367816091954
DoS Slowhttptest,Fwd Packet Length Min,1740,3,1.0
DoS Slowhttptest,Bwd Packet Length Max,1740,7,1.0
DoS Slowhttptest,Bwd Packet Length Min,1740,1,1.0
DoS Slowhttptest,Bwd Packet Length Mean,1740,12,0.9988505747126437
DoS Slowhttptest,Bwd Packet Length Std,1740,16,0.993103448275862
DoS Slowhttptest,Fwd PSH Flags,1740,12,0.9988505747126437
DoS Slowhttptest,Bwd PSH Flags,1740,4,1.0
DoS Slowhttptest,Fwd URG Flags,1740,1,1.0
DoS Slowhttptest,Bwd URG Flags,1740,1,1.0
DoS Slowhttptest,Fwd RST Flags,1740,2,1.0
DoS Slowhttptest,Bwd RST Flags,1740,2,1.0
DoS Slowhttptest,Bwd Header Length,1740,18,0.9844827586206897
DoS Slowhttptest,Packet Length Min,1740,1,1.0
DoS Slowhttptest,Packet Length Max,1740,12,0.9988505747126437
DoS Slowhttptest,FIN Flag Count,1740,9,1.0
